"","chief_justice","majority_votes","votecount","justice_count","voteprop"
"1","Burger",4,40,1638,0.0244200244200244
"2","Burger",5,320,1638,0.195360195360195
"3","Burger",6,342,1638,0.208791208791209
"4","Burger",7,259,1638,0.158119658119658
"5","Burger",8,310,1638,0.189255189255189
"6","Burger",9,367,1638,0.224053724053724
"7","Vinson",4,6,286,0.020979020979021
"8","Vinson",5,49,286,0.171328671328671
"9","Vinson",6,76,286,0.265734265734266
"10","Vinson",7,54,286,0.188811188811189
"11","Vinson",8,54,286,0.188811188811189
"12","Vinson",9,47,286,0.164335664335664
"13","Warren",4,32,2172,0.0147329650092081
"14","Warren",5,362,2172,0.166666666666667
"15","Warren",6,440,2172,0.202578268876611
"16","Warren",7,370,2172,0.170349907918969
"17","Warren",8,421,2172,0.193830570902394
"18","Warren",9,547,2172,0.251841620626151
